ID,score
34988,4.0
34989,3.0
34990,3.0
34991,3.0
34992,3.0
34993,3.0
34994,4.0
34995,4.0
34996,4.0
34997,4.0
34998,3.0
34999,4.0
35000,3.0
35001,3.0
35002,3.0
35003,3.0
35004,3.0
35005,4.0
35006,3.0
35007,2.0
35008,3.0
35009,4.0
35010,3.0
35011,4.0
35012,4.0
35013,2.0
35014,2.0
35015,3.0
35016,4.0
35017,3.0
35018,3.0
35019,3.0
35020,2.0
35021,4.0
35022,3.0
35023,3.0
35024,4.0
35025,2.0
35026,3.0
35027,3.0
35028,3.0
35029,5.0
35030,3.0
35031,3.0
35032,4.0
35033,3.0
35034,3.0
35035,4.0
35036,3.0
35037,3.0
35038,4.0
35039,3.0
35040,3.0
35041,4.0
35042,3.0
35043,3.0
35044,4.0
35045,3.0
35046,3.0
35047,4.0
35048,3.0
35049,3.0
35050,3.0
35051,3.0
35052,4.0
35053,3.0
35054,4.0
35055,4.0
35056,4.0
35057,3.0
35058,3.0
35059,3.0
35060,2.0
35061,2.0
35062,3.0
35063,3.0
35064,4.0
35065,3.0
35066,3.0
35067,2.0
35068,4.0
35069,3.0
35070,2.0
35071,3.0
35072,3.0
35073,3.0
35074,2.0
35075,2.0
35076,2.0
35077,4.0
35078,2.0
35079,3.0
35080,2.0
35081,2.0
35082,3.0
35083,3.0
35084,3.0
35085,3.0
35086,4.0
35087,2.0
35088,4.0
35089,3.0
35090,3.0
35091,4.0
35092,3.0
35093,3.0
35094,3.0
35095,4.0
35096,3.0
35097,4.0
35098,2.0
35099,4.0
35100,3.0
35101,4.0
35102,3.0
35103,4.0
35104,3.0
35105,3.0
35106,3.0
35107,3.0
35108,4.0
35109,3.0
35110,3.0
35111,5.0
35112,3.0
35113,3.0
35114,4.0
35115,5.0
35116,3.0
35117,4.0
35118,3.0
35119,3.0
35120,4.0
35121,3.0
35122,3.0
35123,4.0
35124,3.0
35125,3.0
35126,4.0
35127,3.0
35128,3.0
35129,3.0
35130,2.0
35131,2.0
35132,4.0
35133,4.0
35134,3.0
35135,2.0
35136,3.0
35137,3.0
35138,2.0
35139,2.0
35140,4.0
35141,4.0
35142,4.0
35143,3.0
35144,3.0
35145,3.0
35146,3.0
35147,4.0
35148,3.0
35149,3.0
35150,3.0
35151,2.0
35152,1.0
35153,3.0
35154,2.0
35155,3.0
35156,2.0
35157,3.0
35158,3.0
35159,4.0
35160,3.0
35161,3.0
35162,3.0
35163,2.0
35164,3.0
35165,2.0
35166,3.0
35167,3.0
35168,2.0
35169,4.0
35170,2.0
35171,3.0
35172,3.0
35173,3.0
35174,4.0
35175,3.0
35176,4.0
35177,3.0
35178,3.0
35179,3.0
35180,3.0
35181,3.0
35182,3.0
35183,3.0
35184,2.0
35185,4.0
35186,4.0
35187,3.0
35188,2.0
35189,2.0
35190,3.0
35191,4.0
35192,3.0
35193,3.0
35194,3.0
35195,2.0
35196,3.0
35197,3.0
35198,3.0
35199,2.0
35200,2.0
35201,2.0
35202,4.0
35203,4.0
35204,3.0
35205,3.0
35206,3.0
35207,3.0
35208,5.0
35209,4.0
35210,3.0
35211,4.0
35212,5.0
35213,3.0
35214,3.0
35215,3.0
35216,3.0
35217,4.0
35218,4.0
35219,2.0
35220,4.0
35221,4.0
35222,3.0
35223,3.0
35224,4.0
35225,2.0
35226,2.0
35227,2.0
35228,4.0
35229,3.0
35230,4.0
35231,4.0
35232,4.0
35233,3.0
35234,3.0
35235,3.0
35236,3.0
35237,2.0
35238,3.0
35239,2.0
35240,3.0
35241,2.0
35242,2.0
35243,3.0
35244,3.0
35245,3.0
35246,4.0
35247,4.0
35248,2.0
35249,2.0
35250,3.0
35251,3.0
35252,5.0
35253,4.0
35254,3.0
35255,3.0
35256,3.0
35257,4.0
35258,4.0
35259,3.0
35260,3.0
35261,3.0
35262,4.0
35263,3.0
35264,3.0
35265,4.0
35266,2.0
35267,4.0
35268,2.0
35269,3.0
35270,4.0
35271,3.0
35272,3.0
35273,3.0
35274,3.0
35275,4.0
35276,3.0
35277,4.0
35278,3.0
35279,4.0
35280,4.0
35281,3.0
35282,3.0
35283,3.0
35284,3.0
35285,4.0
35286,3.0
35287,1.0
35288,3.0
35289,3.0
35290,4.0
35291,3.0
35292,2.0
35293,2.0
35294,2.0
35295,3.0
35296,2.0
35297,3.0
35298,3.0
35299,3.0
35300,2.0
35301,4.0
35302,4.0
35303,3.0
35304,4.0
35305,3.0
35306,4.0
35307,4.0
35308,3.0
35309,2.0
35310,3.0
35311,3.0
35312,4.0
35313,4.0
35314,3.0
35315,4.0
35316,3.0
35317,4.0
35318,3.0
35319,4.0
35320,3.0
35321,3.0
35322,2.0
35323,4.0
35324,4.0
35325,3.0
35326,3.0
35327,3.0
35328,2.0
35329,4.0
35330,3.0
35331,3.0
35332,2.0
35333,3.0
35334,4.0
35335,4.0
35336,3.0
35337,3.0
35338,4.0
35339,3.0
35340,5.0
